s,match
http://nomisma.org/id/harpasa,http://pleiades.stoa.org/places/599637
http://nomisma.org/id/apollonia_salbace,http://pleiades.stoa.org/places/638757
http://nomisma.org/id/ituci,http://pleiades.stoa.org/places/256232
http://nomisma.org/id/urso,http://pleiades.stoa.org/places/256503
http://nomisma.org/id/arcesine,http://pleiades.stoa.org/places/599517
http://nomisma.org/id/leptis_minor,http://pleiades.stoa.org/places/324767
http://nomisma.org/id/tarraco,http://pleiades.stoa.org/places/246349
http://nomisma.org/id/calagurris_julia,http://pleiades.stoa.org/places/246279
http://nomisma.org/id/mothone,http://pleiades.stoa.org/places/570483
http://nomisma.org/id/barcino,http://pleiades.stoa.org/places/246343
http://nomisma.org/id/aphrodisias_cilicia,http://pleiades.stoa.org/places/648565
http://nomisma.org/id/dipo,http://pleiades.stoa.org/places/260543
http://nomisma.org/id/oenoe,http://pleiades.stoa.org/places/599836
http://nomisma.org/id/grynium,http://pleiades.stoa.org/places/550555
http://nomisma.org/id/thurium,http://pleiades.stoa.org/places/452457
http://nomisma.org/id/histiaea,http://pleiades.stoa.org/places/540817
http://nomisma.org/id/byblus,http://pleiades.stoa.org/places/668216
http://nomisma.org/id/irippo,http://pleiades.stoa.org/places/256229
http://nomisma.org/id/hierocaesareia,http://pleiades.stoa.org/places/550578
http://nomisma.org/id/viminacium,http://pleiades.stoa.org/places/207549
http://nomisma.org/id/orthosia_phoenicia,http://pleiades.stoa.org/places/668325
http://nomisma.org/id/scythopolis,http://pleiades.stoa.org/places/678378
http://nomisma.org/id/eleusis,http://pleiades.stoa.org/places/579920
http://nomisma.org/id/larinum,http://pleiades.stoa.org/places/442629
http://nomisma.org/id/elateia,http://pleiades.stoa.org/places/540755
http://nomisma.org/id/orthe,http://pleiades.stoa.org/places/540992
http://nomisma.org/id/barskunes,http://pleiades.stoa.org/places/252937
http://nomisma.org/id/siris,http://pleiades.stoa.org/places/452450
http://nomisma.org/id/bostra,http://pleiades.stoa.org/places/678073
http://nomisma.org/id/thebae,http://pleiades.stoa.org/places/541137
http://nomisma.org/id/pitane,http://pleiades.stoa.org/places/550833
http://nomisma.org/id/copae,http://pleiades.stoa.org/places/540878
http://nomisma.org/id/aspendus,http://pleiades.stoa.org/places/638776
http://nomisma.org/id/lebedus,http://pleiades.stoa.org/places/570182
http://nomisma.org/id/chalcidian_league,http://pleiades.stoa.org/places/491678
http://nomisma.org/id/dora,http://pleiades.stoa.org/places/678121
http://nomisma.org/id/eleutherna,http://pleiades.stoa.org/places/589772
http://nomisma.org/id/celenderis,http://pleiades.stoa.org/places/648596
http://nomisma.org/id/lipara,http://pleiades.stoa.org/places/462283
http://nomisma.org/id/dardanus,http://pleiades.stoa.org/places/501393
http://nomisma.org/id/cisthene,http://pleiades.stoa.org/places/550648
http://nomisma.org/id/sacili,http://pleiades.stoa.org/places/266017
http://nomisma.org/id/tragilus,http://pleiades.stoa.org/places/501648
http://nomisma.org/id/corone,http://pleiades.stoa.org/places/570125
http://nomisma.org/id/epidaurus,http://pleiades.stoa.org/places/570228
http://nomisma.org/id/bizya,http://pleiades.stoa.org/places/511190
http://nomisma.org/id/croton,http://pleiades.stoa.org/places/452317
http://nomisma.org/id/dipaea-achaean_league,http://pleiades.stoa.org/places/570199
http://nomisma.org/id/olympus,http://pleiades.stoa.org/places/639017
http://nomisma.org/id/canatha,http://pleiades.stoa.org/places/678082
http://nomisma.org/id/amblada,http://pleiades.stoa.org/places/638741
http://nomisma.org/id/priansus,http://pleiades.stoa.org/places/590013
http://nomisma.org/id/julia_traducta,http://pleiades.stoa.org/places/256235
http://nomisma.org/id/pharnaceia,http://pleiades.stoa.org/places/857185
http://nomisma.org/id/dalisandus,http://pleiades.stoa.org/places/652334
http://nomisma.org/id/samothrace,http://pleiades.stoa.org/places/501596
http://nomisma.org/id/belikio,http://pleiades.stoa.org/places/252939
